id,number,latency
f1b232c1,1,96
1229bd57,2,34
b21bc8a4,3,43
87511939,4,36
1dca2625,5,44
6f1a39dd,6,40
c78947ba,7,30
3e907b55,8,54
ad4699ea,9,34
8b7ebbd6,10,34
53c1d68c,11,39
51318e13,12,36
1b5d8819,13,55
517114d2,14,72
d9257d9b,15,53
6e07b7fa,16,45
fa7fbbf2,17,42
270628a2,18,49
05a016cc,19,37
ccf8ca8f,20,38
8cc4e76d,21,50
a188921b,22,66
36fee151,23,50
22c1ed0f,24,52
0c9eb02f,26,46
a4fefc29,27,47
3c1bbcd2,28,51
5675d0bc,29,54
b395974e,25,2492
cea15756,31,57
3b890f53,32,46
bfe779a0,33,45
ccb6723b,30,2296
2f163e89,35,88
212f7aa1,36,61
7e115734,37,42
0bbf7f05,34,2082
6f388af4,38,45
b001cbb2,39,55
6b203a90,40,45
4f559519,41,49
fbfbb516,42,44
1e76ea5d,43,56
014e0c9d,44,52
ef4c8d49,45,44
25f73f4c,46,49
ddc7bcd6,47,57
db7ca490,48,51
2a8401f0,49,58
5cad3aa0,50,48
23e7fc1f,51,94
8e3fe306,52,56
4dcfc265,53,48
6a9ee9e3,54,55
a6bd6913,55,63
793c7df9,56,57
096fb7f8,57,63
e25c1727,59,49
199bbe2f,60,60
38744c2b,61,58
c9dac9e9,58,2065
13ad7f0f,62,59
ce0ba3e3,63,60
c2c5b6ca,64,50
c981b9c3,65,58
d7601449,66,52
20077f0e,67,55
386cdf45,68,63
9cc85241,69,59
db9bc82e,70,47
ea907ea2,71,53
3b8024eb,72,59
f7131954,73,64
00fca841,75,64
27aff7e7,76,69
39d0cc64,77,76
6e5968ba,74,2394
d2057327,78,64
bc06d0eb,79,101
e4df86f0,80,66
0117f840,81,54
64a13eda,82,66
1935dc1f,84,59
dbf6ad88,85,59
93357bd4,86,59
b07af660,83,2232
55ad1429,87,64
d1d5bac4,88,57
e490cffd,89,61
9d9d43fd,90,61
3d64b9f8,91,58
441e24fb,92,55
6b5b3a5f,93,64
1801b766,94,48
0537310f,95,80
9955c626,97,67
516fb5ea,96,2056
e4b91971,98,50
caae057d,99,60
7ef5745b,100,59
