id,number,latency
50f7ede2,1,61
75f0b147,2,34
823148b9,3,37
7a6a50b8,4,31
db4b3db4,5,38
1e6c0b35,6,29
0d1814a4,7,43
c14f70cf,8,46
23ef973a,9,56
09a5ba59,10,33
07c6df28,12,32
e3e537b9,13,39
d1bcaa7c,14,49
49e7ccd7,15,50
7d368535,11,2429
41cc113d,16,49
5b64e766,17,37
76bf08ad,18,54
be618236,19,35
cac5400a,20,47
3c56e9a6,21,100
5be42ed5,22,39
e71eadf6,23,60
66f15312,24,38
5d25f9c3,25,47
47fe223e,26,131
416b226d,27,37
b9ec0b73,28,55
d99fbf64,29,50
72cffcb9,30,57
d02ba1dd,31,69
bb61ff4d,32,57
2f226608,33,62
b63b8307,34,50
1748df3c,35,56
dc1aad7b,36,59
346c226b,37,75
3a261ad3,38,90
3b727e41,39,60
6c1382d9,40,50
67b70878,41,57
6e1b887e,42,56
e0aa8ec6,43,44
6e3ec973,44,68
6f911bc5,45,56
6b6815c3,46,46
d1315914,47,62
37e34169,48,50
96bed8a1,49,54
7b073cc6,50,74
aa6927d1,51,61
acdd050a,53,50
3139bcda,54,54
ef70ac58,55,65
6ff2b760,56,66
9218bd58,52,2507
5581c2a1,57,51
0109b839,58,61
88cd05ab,59,53
80e4537e,60,60
4f8f9e38,61,63
9d3b18b2,62,61
677010d0,63,57
fe6d4ccb,65,57
ab97e090,66,61
9d947849,67,138
b6b2ed1f,68,64
593e741b,64,2654
d95e8b5e,69,65
d11cd8ae,70,56
2b011a5f,71,61
e2a304be,73,79
db42570d,74,64
3dccd0af,75,65
52b960d2,72,2242
e5d6433b,76,60
e3fe7fa1,77,66
629d0bbe,78,69
36a97f84,79,56
1e29127e,80,70
0159bdbc,81,58
ef4ce0fe,82,69
437e5daa,83,59
4cd2cb2a,84,49
99506971,85,54
e07512fc,86,68
e9c86867,87,60
a894d5c9,88,64
8cfd2627,89,68
bad168d0,90,56
b6282838,91,64
266e0327,92,56
83c7c6dd,93,63
ed7d2d2e,94,64
f990de27,95,149
fc6782f5,96,63
93865053,97,67
42a809d2,98,67
c6717afb,99,66
e0bbed7e,100,69
